Date,Open,High,Low,Close
07/17/2019,3343.46,3343.46,3328.85,3335.5
07/16/2019,3345.02,3348.78,3336.53,3345.88
07/15/2019,3341.04,3346.87,3317.4,3344.79
07/12/2019,3328.81,3341.94,3325.41,3339.03
07/11/2019,3309.15,3341.09,3307.95,3328.24
07/11/2019,3309.15,3341.09,3307.95,3328.24
07/11/2019,3309.15,3341.09,3307.95,3328.24
07/10/2019,3298.24,3310.09,3297.42,3304.96
07/09/2019,3315.3,3320.52,3294.91,3301.28
07/08/2019,3350.66,3350.66,3310.42,3311.83
07/05/2019,3360.32,3367.75,3346.07,3350.14
07/04/2019,3348.32,3369.54,3347.42,3358.26
07/04/2019,3348.32,3369.54,3347.42,3358.26
07/04/2019,3348.32,3369.54,3347.42,3358.26
07/03/2019,3358.43,3360.92,3334.49,3343.55
07/02/2019,3347.19,3361.12,3341.98,3356.49
07/01/2019,3334.69,3351.03,3334.69,3347.47
06/28/2019,3340.1,3342.38,3324.21,3329.19
06/28/2019,3340.1,3342.38,3324.21,3329.19
06/28/2019,3340.1,3342.38,3324.21,3329.19
06/27/2019,3305.35,3341.11,3303.19,3339.73
06/26/2019,3309.19,3311.72,3294.61,3302.67
06/25/2019,3331.77,3337.59,3303.68,3313.04
06/24/2019,3324.71,3332.31,3312.41,3328.02
06/21/2019,3342.01,3343.65,3319.61,3320.86
06/21/2019,3342.01,3343.65,3319.61,3320.86
06/21/2019,3342.01,3343.65,3319.61,3320.86
06/20/2019,3305.51,3339.14,3303.14,3336.09
06/19/2019,3246.7,3300.3,3246.7,3298.48
06/18/2019,3221.94,3241.69,3221.04,3234.52
06/17/2019,3223.88,3243.3,3219.19,3219.71
06/14/2019,3236.79,3238,3226.16,3226.92
06/14/2019,3236.79,3238,3226.16,3226.92
06/14/2019,3236.79,3238,3226.16,3226.92
06/13/2019,3247.06,3247.4,3207.57,3232.88
06/12/2019,3263.9,3275.36,3248.44,3252.77
06/11/2019,3244.96,3271.33,3244.79,3267.73
06/10/2019,3207.38,3243.53,3207.38,3242.56
06/07/2019,3199.82,3209.31,3197.82,3208.06
06/07/2019,3199.82,3209.31,3197.82,3208.06
06/07/2019,3199.82,3209.31,3197.82,3208.06
06/06/2019,3195.64,3202.89,3189.78,3198.01
06/05/2019,3184.56,3212.52,3184.17,3201.24
06/04/2019,3187.59,3189.43,3171.78,3172.06
06/03/2019,3174.06,3181.65,3165.59,3179.63
05/31/2019,3184.07,3190.31,3172.64,3180.11
05/30/2019,3186.85,3196.99,3178.71,3188.68
05/30/2019,3186.85,3196.99,3178.71,3188.68
05/30/2019,3186.85,3196.99,3178.71,3188.68
05/29/2019,3210.98,3210.98,3185.65,3192.28
05/28/2019,3211.31,3222.89,3210.11,3217.36
05/27/2019,3212.58,3219.89,3204.94,3209.54
05/24/2019,3194.23,3209.5,3189.86,3208.33
05/23/2019,3229.95,3231.14,3194.45,3200.49
05/23/2019,3229.95,3231.14,3194.45,3200.49
05/23/2019,3229.95,3231.14,3194.45,3200.49
05/22/2019,3239.95,3245.78,3231.2,3238.07
05/21/2019,3249.61,3255.5,3232.91,3234.25
05/20/2019,3220.02,3253.05,3220.02,3250.98
05/17/2019,3222.44,3246.51,3217.64,3218.75
05/16/2019,3244.17,3244.18,3206.63,3217.58
